Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,City,Visa_Sponsorship,Job_ID,Scope_Category
Motor Vehicle Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Thüringen,Kiloutou Deutschland GmbH,Recruitment Agency,2026-06-20,Full-time,,"Transports company machinery such as aerial work platforms and telescopic forklifts to customer sites, briefs customers on equipment operation, and handles loading, unloading, and cargo securing. Supports the workshop team with minor technical tasks and maintains the assigned vehicle.","Class CE driving licence with code 95 (BKrFQG); ideally some experience with aerial work platforms or similar machinery, though career changers with technical interest are welcome; height-fitness and physical fitness required; reliable and customer-oriented; good German language skills.",Secure permanent position; intensive onboarding and technical/safety training; modern vehicle fleet; regulated working hours with legally compliant driving and rest periods; overtime compensation.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-Erfurt-Chemnitz-Frankfurt-Hamburg-Koeln-Kiloutou-Deutschland-GmbH--12946082-inline.html,"Erfurt, Chemnitz, Frankfurt, Hamburg, Köln",,job-416,LOGISTICS
Sergeant Career Track Driving Instructor,Other/Non-Logistics (9999),9999,999,99,Other/Non-Logistics,,Bundeswehr,Recruitment Agency,2026-06-20,Full-time,,"Delivers theoretical and practical driving instruction for a range of vehicles including passenger cars, trucks, armoured wheeled vehicles, motorcycles, and tracked vehicles within the German Armed Forces. Offers extensive further qualification opportunities.",German citizenship; minimum age 18 (or 17 with parental consent); secondary school leaving certificate (Realschulabschluss) or main school certificate with completed vocational training for the sergeant career track.,"Attractive net salary of €2,321–€3,879; family and child allowances plus overseas deployment supplements; free medical care; free travel in uniform.",On-site,https://www.stepstone.de/stellenangebote--Feldwebellaufbahn-Fahrlehrer-in-m-w-d-Soldatin-Soldat-bundesweit-Bundeswehr--13493884-inline.html,bundesweit,,job-417,LOGISTICS
Bus Driver,Bus & Coach Drivers (8331),8331,833,83,Bus and Tram Drivers,Brandenburg,Verkehrsbetriebe Brandenburg an der Havel GmbH,Recruitment Agency,2026-06-19,Full-time,,"Operates scheduled bus services according to duty rosters and work orders, carries out necessary vehicle inspection checks, provides passenger information, and ensures order and safety on board. Reports incidents to the control centre.",Bus driving licence with passenger transport authorisation; medical fitness certificate per VDV standards.,"Pay grade 5 per TV-N BRB Annex 2; supplements for night, Saturday, Sunday, and public holiday work; additional supplements from works agreements; driver service allowance and further monthly special payments; 3-month probationary period.",On-site,https://www.stepstone.de/stellenangebote--Busfahrer-in-gesucht-m-w-d-Brandenburg-an-der-Havel-Verkehrsbetriebe-Brandenburg-an-der-Havel-GmbH--14175139-inline.html,Brandenburg an der Havel,,job-418,LOGISTICS
Professional Driver / Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Leuer Tiefbauges. mit beschränkter Haftung,Direct Employer,2026-06-19,Full-time,,"Operates and maintains an assigned truck, transporting and loading construction materials and relocating construction machinery on building sites. Supports site crews and handles the loading and transport of bulk materials.","Valid class CE driving licence mandatory; driver card desirable; experience in civil engineering desirable; experience operating a loading crane; willingness to undertake further training; entrepreneurial thinking, sense of responsibility, teamwork, flexibility, and resilience.","4-day week at full full-time salary (fewer hours, same pay); secure long-term employment; permanent full-time contract; 30 days annual leave; individual further training opportunities.",On-site,https://www.stepstone.de/stellenangebote--4-Tage-Woche-bei-vollem-Vollzeitgehalt-Berufskraftfahrer-LKW-Fahrer-Kloster-Lehnin-Leuer-Tiefbauges-mit-beschraenkter-Haftung--14174619-inline.html,Kloster Lehnin,,job-419,LOGISTICS
Driver Canal Service Class C CE,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Mecklenburg-Vorpommern,Uni ROKA GmbH,Direct Employer,2026-06-19,Full-time,,Responsible for emptying and transporting grease separator contents and ensuring smooth operational flow. Maintains and cares for the assigned vehicle to keep it in proper working condition.,Class C driving licence; independent and self-reliant working style; experience in drain cleaning is desirable; service orientation and enjoyment of addressing customer needs.,Work clothing provided free of charge and professionally cleaned; company events for networking; flat hierarchies; individual training and development opportunities; employer-funded savings scheme (vermögenswirksame Leistungen).,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-in-Kanalservice-C-CE-m-w-d-Quereinstieg-Papendorf-bei-Rostock-Uni-ROKA-GmbH--13928663-inline.html,Papendorf,,job-420,LOGISTICS
Security Staff Member,Security Guards (5414),5414,541,54,Security Guards,,BST Bildung Sicherheit Training GmbH,Recruitment Agency,2026-06-19,Full-time,,"Participants are trained and prepared for the officially recognized IHK security qualification exam (§34a GewO), covering areas such as facility protection, reception/gatehouse duties, patrol services, event security, retail surveillance, and airport security services. The role encompasses a wide range of security guard duties across various environments.",Minimum age 18; clean police clearance certificate; good German language skills (written and spoken); reliability and sense of responsibility; motivation for a career restart; Class B driving licence advantageous but not required.,Free qualification training when funded via Bildungsgutschein (education voucher); recognized IHK certificate per §34a GewO; flexible participation options; personal support throughout the programme; job placement assistance; strong future career prospects in a growing sector.,On-site,https://www.stepstone.de/stellenangebote--Sicherheitsmitarbeiter-m-w-d-bundesweit-BST-Bildung-Sicherheit-Training-GmbH--14171527-inline.html,bundesweit,,job-421,LOGISTICS
Forklift Operator,Lifting Truck / Forklift Operators (8344),8344,834,83,Lifting Truck Operators,,TERREPOWER GmbH,Recruitment Agency,2026-06-19,Part-time,,"The role involves picking articles based on electronic instructions, assembling goods or pallets according to specific directives, and safely moving and handling pallets of varying conditions. Responsibilities also include storing finished goods in accordance with the ERP/IT system requirements.",Valid forklift licence; safe operation of reach stackers and electric pallet trucks; ideally some prior experience in warehouse logistics; strong safety and quality awareness; ability to work independently and in a team; willingness to work a two-shift system.,Modern equipment; regular employee appraisals; further training and development opportunities; free beverages; subsidized lunch; free parking; company events; full-time or part-time options; permanent employment contract; probationary period.,On-site,https://www.stepstone.de/stellenangebote--Staplerfahrer-m-w-d-Brueck-TERREPOWER-GmbH--14108465-inline.html,Brück,,job-422,LOGISTICS
Vehicle Transfer Driver,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Hessen,Hartmann FLEET-Professionals GmbH,Direct Employer,2026-06-18,Full-time,,"The role involves inspecting vehicles and safely delivering them to end customers while maintaining direct customer contact, with travel primarily within Germany. Occasional vehicle retrievals from abroad are also required, along with taking detailed photographs of vehicles.",Valid Class B driving licence held for at least 3 years; maximum 30-minute travel time from home to the designated main station; flexibility and willingness to travel; good German language skills.,Long-term and secure employment in a social-insurance-eligible position; BahnCard 50 or Deutschlandticket provided for travel; company tablet provided; company pension scheme contributions.,On-site,https://www.stepstone.de/stellenangebote--Fahrer-fuer-PKW-Ueberfuehrung-m-w-d-Wiesbaden-Niederaula-Darmstadt-Bremen-Hartmann-FLEET-Professionals-GmbH--13856043-inline.html,Wiesbaden,,job-423,LOGISTICS
Professional Driver Short-Haul,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Frachtservice Hass GmbH & Co.KG,Direct Employer,2026-06-18,Full-time,,"The role involves short-haul transport of bulk goods and silo freight within Germany, with no overnight stays required. Drivers are expected to conduct proper pre-departure checks, maintain accurate documentation, and comply with driving and rest time regulations.",Valid Class C/CE driving licence; qualification under the German Professional Driver Qualification Act (BKrFQG); valid driver card (tachograph); flexibility; German language skills at minimum B1 level.,Punctual pay; stable employment sought for long-term team members.,On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-in-Nahverkehr-14-Brandenburg-an-der-Havel-Deutschland-Frachtservice-Hass-GmbH-Co-KG--13392089-inline.html,14 Brandenburg an der Havel,,job-424,LOGISTICS
Biogas Plant Operator,Other/Non-Logistics (9999),9999,999,99,Other/Non-Logistics,,meinestadt.de,Job Aggregator / Intermediary,2026-06-18,Full-time,,"The role involves feeding, supervising, and monitoring a biogas plant to ensure continuous and stable gas production, including operating and controlling all relevant machinery. Responsibilities also include independent fault analysis, troubleshooting, and maintaining operational logbooks.","Completed technical or trade apprenticeship (e.g. electrician, mechatronics engineer, agricultural/construction machinery mechanic, industrial mechanic) or equivalent agricultural qualification; experience in biogas advantageous but not required; good technical aptitude; Class B driving licence; willingness to work on call.",Not specified.,On-site,https://www.stepstone.de/stellenangebote--Anlagenfahrer-Biogasanlage-w-m-d-Pessin-Pessin-meinestadt-de--14028802-inline.html,Pessin,,job-425,LOGISTICS
Truck Driver Retail Distribution,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,YELLOW POINT Handelsgesellschaft mbH,Recruitment Agency,2026-06-18,Full-time,,"The role involves driving and delivering goods to TaschenParadies retail branches in the Berlin/Brandenburg region, with loading and unloading carried out at the main warehouse in Ludwigsfelde. The driver is also responsible for checking and maintaining cargo security.",Class C or C1 HGV driving licence; good German language skills (written and spoken); physical fitness; strong sense of responsibility.,Early shift hours (04:00–12:00); motivated team environment; flat hierarchies; fair and punctual pay; thorough onboarding; staff discount on company products.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrerin-im-Einzelhandel-14974-Ludwigsfelde-Deutschland-YELLOW-POINT-Handelsgesellschaft-mbH--13924288-inline.html,14974 Ludwigsfelde,,job-426,LOGISTICS
Excavator Operator,Earthmoving & Construction Plant Operators (8342),8342,834,83,Earthmoving and Related Plant Operators,Mecklenburg-Vorpommern,Thomas Bau GmbH,Direct Employer,2026-06-17,Full-time,,"The role involves operating excavators to create utility trenches and carry out earthworks, as well as performing preparatory work on construction sites and laying pipes. Responsibilities also include concrete work and maintaining construction machinery to ensure operational readiness.","Extensive experience with construction machinery and specifically as an excavator operator; completed training as a construction equipment operator (Baugeräteführer) with road construction knowledge; driving licences Class B, C, and CE; reliability and sense of responsibility.",Holiday and Christmas bonus; clothing allowance; company events; performance-related pay; further training opportunities.,On-site,https://www.stepstone.de/stellenangebote--Baggerfahrer-in-m-w-d-Eixen-Thomas-Bau-GmbH--13798225-inline.html,Eixen,,job-427,LOGISTICS
